Year,WHO region,Country,Display Value
1986,Western Pacific,Viet Nam,0
1986,Americas,Uruguay,0.5
1985,Africa,Cte d'Ivoire,1.62
1986,Americas,Colombia,4.27
1987,Americas,Saint Kitts and Nevis,1.98
1987,Americas,Guatemala,0
1987,Africa,Mauritius,0.13
1985,Africa,Angola,0.39
1986,Americas,Antigua and Barbuda,1.55
1984,Africa,Nigeria,6.1
1987,Africa,Botswana,0.2
1989,Americas,Guatemala,0.62
1985,Western Pacific,Lao People's Democratic Republic,0
1984,Eastern Mediterranean,Afghanistan,0
1985,Western Pacific,Viet Nam,0.05
1987,Africa,Guinea-Bissau,0.07
1984,Americas,Costa Rica,0.06
1989,Africa,Seychelles,2.23
1984,Europe,Norway,1.62
1984,Africa,Kenya,1.08
1986,South-East Asia,Myanmar,0
1989,Americas,Costa Rica,4.51
1984,Europe,Romania,2.67
1984,Europe,Turkey,0.44
1985,Africa,Comoros,
1984,Eastern Mediterranean,Tunisia,0
1985,Europe,United Kingdom of Great Britain and Northern Ireland,1.36
1984,Eastern Mediterranean,Bahrain,2.22
1987,Western Pacific,Viet Nam,0.11
1986,Europe,Italy,
1986,Africa,Sierra Leone,4.48
1986,Western Pacific,Micronesia (Federated States of),0
1989,Africa,Mauritius,1.6
1985,Africa,Mauritania,0
1986,Europe,Russian Federation,0.8
1985,Americas,Saint Kitts and Nevis,2.24
1987,Eastern Mediterranean,Egypt,0.07
1986,Europe,Sweden,3.04
1987,Eastern Mediterranean,Qatar,0
1987,Africa,Burkina Faso,0.01
1987,Europe,Austria,1.9
1986,Europe,Czech Republic,6.82
1984,Europe,Ukraine,3.06
1984,Western Pacific,China,0.03
1985,Europe,Lithuania,
1989,Africa,Zimbabwe,0.19
1987,Americas,Trinidad and Tobago,2.26
1986,Americas,Mexico,0.04
1987,Americas,Nicaragua,0.7
1986,Europe,Malta,1.49
1985,Europe,Switzerland,0.3
1987,Europe,Finland,3.88
1986,Eastern Mediterranean,Saudi Arabia,0
1984,Eastern Mediterranean,Kuwait,0
1984,Americas,El Salvador,1.81
1989,Americas,Suriname,0.04
1987,Western Pacific,Viet Nam,0
1989,Europe,Croatia,5.1
1984,Eastern Mediterranean,Somalia,0
1989,Eastern Mediterranean,Syrian Arab Republic,0
1987,Eastern Mediterranean,Iran (Islamic Republic of),0
1984,Western Pacific,Papua New Guinea,0.08
1987,Americas,Suriname,0
1985,Eastern Mediterranean,Libya,0
1989,Americas,Bolivia (Plurinational State of),1.26
1989,Eastern Mediterranean,Somalia,0
1987,Eastern Mediterranean,Iraq,0.01
1989,Africa,Namibia,0
1989,Africa,Uganda,0.12
1986,Africa,Togo,0.42
1986,Africa,Madagascar,1.02
1985,Africa,Mali,0.57
1987,Africa,Mauritania,0
1986,Eastern Mediterranean,Pakistan,0.01
1986,Americas,Bolivia (Plurinational State of),2.06
1989,Eastern Mediterranean,Afghanistan,0
1985,Africa,Comoros,0.02
1985,Africa,Cameroon,0.01
1989,Americas,Jamaica,0
1989,Europe,Finland,2.09
1985,Africa,Malawi,0.84
1985,Europe,Netherlands,2.54
1987,Europe,Ireland,2.25
1986,Europe,Ukraine,
1986,South-East Asia,Sri Lanka,0
1985,Africa,Democratic Republic of the Congo,0.01
1986,Americas,Bahamas,1.83
1989,Eastern Mediterranean,Iraq,0.01
1987,Eastern Mediterranean,Lebanon,0.42
1986,Eastern Mediterranean,Lebanon,0.7
1989,Africa,Malawi,0.01
1989,Europe,Bulgaria,4.43
1986,Africa,Eritrea,0
1987,Africa,Madagascar,
1985,Europe,Ukraine,3.06
1984,Africa,Niger,0
1985,Europe,Luxembourg,7.38
1984,South-East Asia,Indonesia,0
1984,Africa,Equatorial Guinea,0
1985,South-East Asia,Democratic People's Republic of Korea,0
1987,Americas,Chile,1.49
1985,Eastern Mediterranean,Kuwait,
1989,Americas,Nicaragua,0.01
1989,Africa,Central African Republic,0.03
1986,Europe,Spain,0
1986,Africa,Madagascar,0.19
1989,Eastern Mediterranean,Afghanistan,0
1986,Africa,Gambia,1.96
1987,Africa,Ghana,0.26
1984,Americas,Chile,6.36
1985,Americas,Brazil,1.42
1986,Americas,Nicaragua,2.73
1987,Europe,Portugal,0.79
1987,Eastern Mediterranean,Bahrain,2.02
1989,Africa,Burundi,2.84
1986,Europe,Belgium,7.36
1987,Eastern Mediterranean,Iraq,0.34
1984,Africa,Guinea-Bissau,1.64
1985,Africa,Democratic Republic of the Congo,0.01
1985,Americas,Chile,1.17
1987,Americas,Paraguay,0.36
1985,Eastern Mediterranean,Pakistan,0
1987,Eastern Mediterranean,Lebanon,0
1989,Europe,Sweden,3.55
1985,Europe,Hungary,7.01
1989,Europe,Greece,4.12
1985,Europe,Belgium,3.08
1984,South-East Asia,India,1.14
1984,Africa,Gambia,1.02
1989,Europe,Kyrgyzstan,0.72
1987,Africa,Zimbabwe,3.44
1986,Americas,Bolivia (Plurinational State of),1.14
1984,Africa,Burundi,2.6
1989,Europe,Belgium,7.01
1985,Europe,France,2.7
1984,Eastern Mediterranean,Saudi Arabia,0.01
1987,Africa,Namibia,0
1986,Africa,Zambia,0.01
1989,Africa,Angola,0
1989,Africa,Burkina Faso,0
1987,Europe,Israel,0.96
1986,Africa,Gambia,0.09
1987,Americas,Antigua and Barbuda,1.55
1987,Europe,Ireland,7.49
1986,Africa,Uganda,0
1987,Africa,Swaziland,0
1984,Americas,Canada,3.35
1985,Western Pacific,Cambodia,
1989,Europe,Czech Republic,
1986,Africa,Cabo Verde,0.44
1989,Eastern Mediterranean,United Arab Emirates,3.69
1989,Americas,Peru,2.99
1987,Americas,Costa Rica,0.83
1985,Europe,Czech Republic,4.61
1987,Europe,Belgium,7.42
1986,Americas,Saint Kitts and Nevis,1.25
1985,Europe,Portugal,0.54
1985,Western Pacific,Solomon Islands,0
1985,Africa,United Republic of Tanzania,0.14
1985,Africa,Chad,0.34
1984,Americas,Cuba,2.06
1989,Americas,Trinidad and Tobago,2.27
1989,Americas,Guyana,8.9
1984,Americas,Costa Rica,0.58
1985,Western Pacific,Mongolia,0
1984,Eastern Mediterranean,Iraq,0.01
1987,Americas,Saint Kitts and Nevis,0.43
1987,Europe,Ukraine,1.45
1986,Europe,Norway,0
1987,Eastern Mediterranean,Iran (Islamic Republic of),0
1987,Europe,Israel,0.74
1986,Western Pacific,Australia,1.57
1984,Africa,Sao Tome and Principe,0.01
1987,Americas,Peru,3.12
1984,Europe,Spain,3.68
1985,Europe,Greece,3.49
1989,Eastern Mediterranean,Bahrain,3.56
1985,Africa,Zambia,2.07
1984,Europe,Slovenia,3.42
1987,Africa,Zimbabwe,0.03
1989,Africa,Benin,0.99
1984,Africa,Algeria,0.01
1986,Africa,Togo,2.21
1987,Africa,Chad,0
1986,Americas,Venezuela (Bolivarian Republic of),0.13
1987,Americas,Ecuador,0.05
1985,Europe,Iceland,1.16
1989,Africa,Liberia,0.42
1989,Western Pacific,Viet Nam,0.03
1985,Eastern Mediterranean,Yemen,0
1987,Eastern Mediterranean,Sudan,0
1989,Europe,Belarus,4.81
1985,Europe,Israel,0.16
1985,Eastern Mediterranean,Somalia,0.01
1989,Eastern Mediterranean,Syrian Arab Republic,0.11
1986,Europe,Cyprus,2.96
1989,Africa,Swaziland,0
1987,Africa,Madagascar,0.96
1989,Europe,France,10.24
1987,Africa,Gambia,0.07
1989,Americas,United States of America,
1989,Africa,Cabo Verde,1.69
1989,Americas,Trinidad and Tobago,0.01
1986,Western Pacific,Vanuatu,0.64
1985,South-East Asia,Bangladesh,0
1984,Africa,Botswana,0.28
1987,Western Pacific,Philippines,0.01
1985,Europe,Slovakia,4.5
1987,Americas,United States of America,3.1
1989,Eastern Mediterranean,Saudi Arabia,0
1989,Europe,Poland,6.08
1985,South-East Asia,Myanmar,0.01
1989,Africa,Senegal,0.28
1986,Eastern Mediterranean,Syrian Arab Republic,0
1984,Europe,Romania,2.94
1987,Americas,Honduras,1.02
1985,Eastern Mediterranean,Qatar,1.94
1986,South-East Asia,Bhutan,0
1987,Western Pacific,Fiji,
1989,Europe,Bulgaria,3.02
1989,Europe,Slovenia,2.72
1987,Americas,Belize,3.04
1984,Africa,Lesotho,0.44
1985,Western Pacific,Singapore,1.01
1985,Europe,Ukraine,
1986,Africa,Guinea,0.07
1987,Africa,Angola,0.48
1987,Western Pacific,Brunei Darussalam,0.15
1987,Africa,Algeria,0.17
1985,Africa,Congo,2.76
1989,Europe,Hungary,
1987,Western Pacific,Vanuatu,0.18
1985,Africa,Mauritius,1.12
1986,Western Pacific,Solomon Islands,0.07
1985,Africa,Central African Republic,0.43
1987,Africa,Guinea,0.08
1986,South-East Asia,Thailand,2.32
1987,Africa,Algeria,0.01
