age;job;marital;education;housing;loan;duration
56;housemaid;married;basic,4y;no;no;261
57;services;married;high,school;no;no;149
40;admin,;married;basic,6y;no;no;151
56;services;married;high,school;no;yes;307
45;services;married;basic,9y;no;no;198
59;admin,;married;professional,course;no;no;139
41;blue-collar;married;unknown;no;no;217
41;blue-collar;married;unknown;no;no;55
29;blue-collar;single;high,school;no;yes;137
39;management;single;basic,9y;no;no;195
30;unemployed;married;high,school;no;no;38
35;technician;married;university,degree;no;yes;99
39;self-employed;married;basic,9y;no;no;233
54;technician;single;university,degree;no;no;255
46;admin,;married;unknown;no;no;348
49;blue-collar;married;unknown;no;no;73
54;blue-collar;divorced;basic,4y;no;no;208
34;services;married;high,school;no;no;365
38;admin,;single;professional,course;no;no;160
57;admin,;married;university,degree;no;yes;212
42;technician;single;professional,course;no;no;22
40;blue-collar;married;basic,9y;no;yes;178
54;admin,;married;high,school;no;no;160
39;housemaid;married;basic,4y;no;yes;266
60;admin,;married;high,school;no;no;253
53;admin,;single;professional,course;no;no;179
55;blue-collar;married;basic,4y;no;no;269
50;management;married;university,degree;no;yes;161
47;entrepreneur;married;university,degree;no;no;449
42;blue-collar;married;basic,6y;no;no;366
48;admin,;married;high,school;no;no;357
37;admin,;married;university,degree;no;no;232
41;management;married;basic,6y;no;no;200
57;unknown;married;unknown;no;no;211
55;technician;married;university,degree;no;no;349
42;blue-collar;married;basic,9y;no;no;208
38;admin,;married;high,school;no;no;165
38;technician;single;university,degree;no;yes;20
31;admin,;divorced;high,school;no;no;246
41;management;married;basic,6y;no;no;529
49;technician;married;basic,9y;no;no;1467
60;admin,;married;unknown;no;yes;213
33;unemployed;married;basic,9y;no;no;545
42;blue-collar;married;basic,6y;no;yes;583
42;management;married;university,degree;no;no;426
53;admin,;divorced;university,degree;no;no;287
37;technician;single;professional,course;no;no;197
44;blue-collar;married;basic,6y;no;no;257
49;blue-collar;married;basic,4y;no;no;55
54;services;married;unknown;no;no;400
52;admin,;divorced;university,degree;no;no;197
52;admin,;divorced;university,degree;no;no;190
43;services;single;high,school;no;no;21
60;retired;divorced;university,degree;no;no;514
58;unemployed;married;basic,4y;no;no;849
37;management;married;university,degree;no;no;337
36;blue-collar;married;high,school;no;no;286
52;admin,;divorced;university,degree;no;no;247
49;blue-collar;divorced;high,school;no;no;439
41;services;married;high,school;no;no;139
42;admin,;married;university,degree;no;yes;262
50;admin,;married;basic,6y;no;no;61
41;technician;married;professional,course;no;no;677
52;management;married;university,degree;no;no;185
39;management;divorced;university,degree;no;no;207
39;housemaid;married;basic,4y;no;no;69
56;blue-collar;married;basic,4y;no;no;100
42;blue-collar;married;basic,4y;no;no;541
60;blue-collar;married;basic,9y;no;no;301
56;entrepreneur;married;unknown;no;no;204
51;blue-collar;married;unknown;no;no;243
59;services;married;high,school;no;no;579
40;blue-collar;married;basic,9y;no;no;46
42;blue-collar;married;basic,9y;no;no;559
39;services;divorced;high,school;no;no;2033
37;entrepreneur;married;basic,6y;no;no;85
56;admin,;divorced;unknown;no;no;114
40;blue-collar;married;unknown;no;no;114
43;blue-collar;married;high,school;no;yes;181
36;services;married;high,school;no;no;427
42;admin,;single;university,degree;no;no;192
43;services;married;high,school;no;no;93
46;management;married;basic,9y;no;no;128
51;admin,;single;basic,6y;no;no;303
37;blue-collar;married;basic,9y;no;no;270
34;technician;married;high,school;no;no;228
54;blue-collar;married;basic,4y;no;no;102
57;management;married;university,degree;no;no;461
51;technician;married;basic,6y;no;no;250
54;retired;married;high,school;no;no;130
49;blue-collar;married;basic,4y;no;no;252
41;technician;married;professional,course;no;no;412
45;management;divorced;university,degree;no;no;19
42;technician;married;university,degree;no;no;228
34;blue-collar;single;basic,9y;no;no;289
33;services;married;high,school;no;no;146
32;services;single;basic,6y;no;no;167
43;admin,;married;unknown;no;no;277
35;student;single;university,degree;no;no;218
35;unemployed;married;professional,course;no;no;67
36;services;single;basic,4y;no;no;291
55;housemaid;divorced;university,degree;no;no;286
59;admin,;married;university,degree;no;no;477
57;retired;married;unknown;no;no;611
50;housemaid;married;basic,4y;no;no;287
40;services;married;high,school;no;no;322
43;technician;married;unknown;no;no;366
40;technician;married;basic,9y;no;no;168
58;retired;married;university,degree;no;no;132
42;technician;married;university,degree;no;no;64
35;admin,;single;university,degree;no;no;209
43;retired;married;basic,4y;no;no;410
39;admin,;married;high,school;no;no;357
52;self-employed;married;university,degree;no;no;175
56;blue-collar;married;basic,4y;no;no;136
48;admin,;married;high,school;no;no;125
33;services;married;high,school;no;yes;189
43;management;married;university,degree;no;yes;213
57;retired;married;high,school;no;no;238
36;technician;single;professional,course;no;no;124
34;services;single;basic,9y;no;no;730
30;technician;married;university,degree;no;no;40
33;services;divorced;unknown;no;no;181
32;technician;single;professional,course;no;no;79
36;blue-collar;single;high,school;no;yes;389
33;services;single;high,school;no;no;702
40;technician;divorced;professional,course;no;no;151
28;services;married;unknown;no;no;408
45;management;married;basic,9y;no;yes;46
33;admin,;married;high,school;no;yes;50
33;admin,;married;high,school;no;yes;181
42;technician;married;high,school;no;no;361
43;admin,;divorced;basic,9y;no;no;73
42;admin,;married;university,degree;no;no;67
27;blue-collar;single;basic,6y;no;no;350
31;student;single;university,degree;no;no;332
54;management;divorced;university,degree;no;no;611
40;self-employed;married;basic,4y;no;no;58
